round,accuracy,loss,bytes_received,bytes_sent,timestamp
211,-1,-1,220,220,2026-01-04 16:37:33.528105
212,-1,-1,220,220,2026-01-04 16:37:33.557436
213,-1,-1,220,220,2026-01-04 16:37:33.589767
214,-1,-1,220,220,2026-01-04 16:37:33.623208
215,-1,-1,220,220,2026-01-04 16:37:33.663687
216,-1,-1,220,220,2026-01-04 16:37:33.698048
217,-1,-1,220,220,2026-01-04 16:37:33.739425
218,-1,-1,220,220,2026-01-04 16:37:33.781507
219,-1,-1,220,220,2026-01-04 16:37:33.801521
220,-1,-1,220,220,2026-01-04 16:37:33.830110
221,-1,-1,220,220,2026-01-04 16:37:33.865922
222,-1,-1,220,220,2026-01-04 16:37:33.895991
223,-1,-1,220,220,2026-01-04 16:37:33.930063
224,-1,-1,220,220,2026-01-04 16:37:33.953078
225,-1,-1,220,220,2026-01-04 16:37:34.000914
226,-1,-1,220,220,2026-01-04 16:37:34.037626
227,-1,-1,220,220,2026-01-04 16:37:34.065532
228,-1,-1,220,220,2026-01-04 16:37:34.101519
229,-1,-1,220,220,2026-01-04 16:37:34.136020
230,-1,-1,220,220,2026-01-04 16:37:34.192760
231,-1,-1,220,220,2026-01-04 16:37:34.230589
232,-1,-1,220,220,2026-01-04 16:37:34.281314
233,-1,-1,220,220,2026-01-04 16:37:34.312484
234,-1,-1,220,220,2026-01-04 16:37:34.360182
235,-1,-1,220,220,2026-01-04 16:37:34.397226
236,-1,-1,220,220,2026-01-04 16:37:34.431668
237,-1,-1,220,220,2026-01-04 16:37:34.463621
238,-1,-1,220,220,2026-01-04 16:37:34.490827
239,-1,-1,220,220,2026-01-04 16:37:34.510374
240,-1,-1,220,220,2026-01-04 16:37:34.550625
241,-1,-1,220,220,2026-01-04 16:37:34.567743
242,-1,-1,220,220,2026-01-04 16:37:34.589687
243,-1,-1,220,220,2026-01-04 16:37:34.618246
244,-1,-1,220,220,2026-01-04 16:37:34.635921
245,-1,-1,220,220,2026-01-04 16:37:34.680430
246,-1,-1,220,220,2026-01-04 16:37:34.709014
247,-1,-1,220,220,2026-01-04 16:37:34.734483
248,-1,-1,220,220,2026-01-04 16:37:34.768563
249,-1,-1,220,220,2026-01-04 16:37:34.793774
250,-1,-1,220,220,2026-01-04 16:37:34.819477
251,-1,-1,220,220,2026-01-04 16:37:34.853468
252,-1,-1,220,220,2026-01-04 16:37:34.896722
253,-1,-1,220,220,2026-01-04 16:37:34.928288
254,-1,-1,220,220,2026-01-04 16:37:34.971146
255,-1,-1,220,220,2026-01-04 16:37:35.018396
256,-1,-1,220,220,2026-01-04 16:37:35.067896
257,-1,-1,220,220,2026-01-04 16:37:35.106077
258,-1,-1,220,220,2026-01-04 16:37:35.134040
259,-1,-1,220,220,2026-01-04 16:37:35.171780
260,-1,-1,220,220,2026-01-04 16:37:35.215929
261,-1,-1,220,220,2026-01-04 16:37:35.255851
262,-1,-1,220,220,2026-01-04 16:37:35.289824
263,-1,-1,220,220,2026-01-04 16:37:35.321021
264,-1,-1,220,220,2026-01-04 16:37:35.362284
265,-1,-1,220,220,2026-01-04 16:37:35.390902
266,-1,-1,220,220,2026-01-04 16:37:35.428579
267,-1,-1,220,220,2026-01-04 16:37:35.473152
268,-1,-1,220,220,2026-01-04 16:37:35.504419
269,-1,-1,220,220,2026-01-04 16:37:35.530003
270,-1,-1,220,220,2026-01-04 16:37:35.555233
271,-1,-1,220,220,2026-01-04 16:37:35.587408
272,-1,-1,220,220,2026-01-04 16:37:35.632205
273,-1,-1,220,220,2026-01-04 16:37:35.670743
274,-1,-1,220,220,2026-01-04 16:37:35.709941
275,-1,-1,220,220,2026-01-04 16:37:35.773712
276,-1,-1,220,220,2026-01-04 16:37:35.822728
277,-1,-1,220,220,2026-01-04 16:37:35.850657
278,-1,-1,220,220,2026-01-04 16:37:35.887584
279,-1,-1,220,220,2026-01-04 16:37:35.928257
280,-1,-1,220,220,2026-01-04 16:37:35.964943
281,-1,-1,220,220,2026-01-04 16:37:36.008682
282,-1,-1,220,220,2026-01-04 16:37:36.041748
283,-1,-1,220,220,2026-01-04 16:37:36.075870
284,-1,-1,220,220,2026-01-04 16:37:36.098106
285,-1,-1,220,220,2026-01-04 16:37:36.130793
286,-1,-1,220,220,2026-01-04 16:37:36.160311
287,-1,-1,220,220,2026-01-04 16:37:36.184314
288,-1,-1,220,220,2026-01-04 16:37:36.217011
289,-1,-1,220,220,2026-01-04 16:37:36.239605
290,-1,-1,220,220,2026-01-04 16:37:36.273562
291,-1,-1,220,220,2026-01-04 16:37:36.301871
292,-1,-1,220,220,2026-01-04 16:37:36.344225
293,-1,-1,220,220,2026-01-04 16:37:36.392610
294,-1,-1,220,220,2026-01-04 16:37:36.419406
295,-1,-1,220,220,2026-01-04 16:37:36.455125
296,-1,-1,220,220,2026-01-04 16:37:36.477586
297,-1,-1,220,220,2026-01-04 16:37:36.506770
298,-1,-1,220,220,2026-01-04 16:37:36.533886
299,-1,-1,220,220,2026-01-04 16:37:36.588804
300,-1,-1,220,220,2026-01-04 16:37:36.610574
301,-1,-1,220,220,2026-01-04 16:37:36.646453
302,-1,-1,220,220,2026-01-04 16:37:36.693498
303,-1,-1,220,220,2026-01-04 16:37:36.719581
304,-1,-1,220,220,2026-01-04 16:37:36.752169
305,-1,-1,220,220,2026-01-04 16:37:36.777924
306,-1,-1,220,220,2026-01-04 16:37:36.813616
307,-1,-1,220,220,2026-01-04 16:37:36.834261
308,-1,-1,220,220,2026-01-04 16:37:36.867440
309,-1,-1,220,220,2026-01-04 16:37:36.919496
310,-1,-1,220,220,2026-01-04 16:37:36.955235
311,-1,-1,220,220,2026-01-04 16:37:37.001611
312,-1,-1,220,220,2026-01-04 16:37:37.048911
313,-1,-1,220,220,2026-01-04 16:37:37.072269
314,-1,-1,220,220,2026-01-04 16:37:37.124101
315,-1,-1,220,220,2026-01-04 16:37:37.158718
316,-1,-1,220,220,2026-01-04 16:37:37.191228
317,-1,-1,220,220,2026-01-04 16:37:37.221408
318,-1,-1,220,220,2026-01-04 16:37:37.249330
319,-1,-1,220,220,2026-01-04 16:37:37.307568
320,-1,-1,220,220,2026-01-04 16:37:37.330600
321,-1,-1,220,220,2026-01-04 16:37:37.376412
